order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-04067,2022-01-06,2022,Q1,1,January,Europe,Germany,Electronics,Monitors,Consumer,14,740.42,10365.88,6996.64,3369.24,32.5
ORD-00720,2022-01-06,2022,Q1,1,January,Europe,Germany,Clothing,Shoes,Consumer,1,105.05,105.05,48.1,56.95,54.21
ORD-03830,2022-01-06,2022,Q1,1,January,Asia Pacific,India,Furniture,Bookcases,Consumer,1,252.07,252.07,161.98,90.09,35.74
ORD-04141,2022-01-06,2022,Q1,1,January,Europe,United Kingdom,Electronics,Phones,Home Office,1,592.61,592.61,343.47,249.14,42.04
ORD-06008,2022-01-06,2022,Q1,1,January,North America,United States,Clothing,Jackets,Home Office,6,96.58,579.48,261.54,317.94,54.87
ORD-01389,2022-01-07,2022,Q1,1,January,Europe,United Kingdom,Office Supplies,Labels,Corporate,14,12.13,169.82,92.82,77.0,45.34
ORD-07823,2022-01-07,2022,Q1,1,January,North America,United States,Clothing,Jackets,Corporate,1,16.94,16.94,7.04,9.9,58.44
ORD-02546,2022-01-07,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Storage,Consumer,2,324.27,648.54,337.54,311.0,47.95
ORD-09391,2022-01-07,2022,Q1,1,January,North America,United States,Furniture,Tables,Home Office,2,102.61,205.22,119.32,85.9,41.86
ORD-08121,2022-01-07,2022,Q1,1,January,Europe,Italy,Electronics,Phones,Consumer,2,121.5,243.0,140.6,102.4,42.14
ORD-01225,2022-01-07,2022,Q1,1,January,North America,Canada,Electronics,Laptops,Corporate,9,536.67,4830.03,2723.67,2106.36,43.61
ORD-06052,2022-01-07,2022,Q1,1,January,North America,United States,Electronics,Monitors,Home Office,10,1410.73,14107.3,9183.5,4923.8,34.9
ORD-00955,2022-01-07,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Paper,Corporate,13,77.46,1006.98,529.75,477.23,47.39
ORD-04492,2022-01-07,2022,Q1,1,January,North America,Mexico,Office Supplies,Paper,Corporate,1,76.33,76.33,28.52,47.81,62.64
ORD-08959,2022-01-08,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Desks,Home Office,10,490.68,4906.8,2456.9,2449.9,49.93
ORD-00656,2022-01-08,2022,Q1,1,January,North America,Canada,Clothing,Accessories,Consumer,4,170.7,682.8,356.32,326.48,47.81
ORD-08470,2022-01-08,2022,Q1,1,January,Europe,Spain,Clothing,Accessories,Consumer,4,240.8,963.2,489.64,473.56,49.17
ORD-02240,2022-01-08,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Labels,Corporate,14,46.17,646.38,238.7,407.68,63.07
ORD-02960,2022-01-08,2022,Q1,1,January,Europe,Italy,Electronics,Laptops,Consumer,3,259.21,777.63,542.85,234.78,30.19
ORD-04047,2022-01-08,2022,Q1,1,January,North America,Mexico,Electronics,Laptops,Consumer,3,727.44,2182.32,1396.38,785.94,36.01
ORD-04435,2022-01-08,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Labels,Consumer,11,23.8,261.8,123.31,138.49,52.9
ORD-00195,2022-01-09,2022,Q1,1,January,Asia Pacific,South Korea,Electronics,Accessories,Home Office,4,244.64,978.56,541.68,436.88,44.65
ORD-04634,2022-01-09,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Accessories,Corporate,8,744.77,5958.16,4075.12,1883.04,31.6
ORD-08046,2022-01-09,2022,Q1,1,January,North America,Canada,Clothing,Shirts,Consumer,11,88.4,972.4,536.25,436.15,44.85
ORD-07444,2022-01-09,2022,Q1,1,January,North America,Canada,Electronics,Monitors,Consumer,13,1269.72,16506.36,9449.7,7056.66,42.75
ORD-06111,2022-01-09,2022,Q1,1,January,Europe,France,Clothing,Accessories,Consumer,12,105.73,1268.76,537.36,731.4,57.65
ORD-01381,2022-01-09,2022,Q1,1,January,North America,United States,Clothing,Jackets,Consumer,4,64.34,257.36,119.44,137.92,53.59
ORD-07419,2022-01-10,2022,Q1,1,January,Europe,Spain,Office Supplies,Binders,Consumer,5,16.12,80.6,40.65,39.95,49.57
ORD-00752,2022-01-10,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Labels,Home Office,10,28.02,280.2,135.0,145.2,51.82
ORD-08689,2022-01-10,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Pens,Home Office,14,54.15,758.1,278.88,479.22,63.21
ORD-02984,2022-01-10,2022,Q1,1,January,North America,United States,Electronics,Laptops,Home Office,11,758.23,8340.53,5793.15,2547.38,30.54
ORD-01645,2022-01-10,2022,Q1,1,January,Europe,United Kingdom,Furniture,Desks,Consumer,13,742.39,9651.07,4902.95,4748.12,49.2
ORD-05929,2022-01-10,2022,Q1,1,January,North America,Mexico,Electronics,Tablets,Consumer,7,1440.87,10086.09,6654.9,3431.19,34.02
ORD-00528,2022-01-10,2022,Q1,1,January,North America,Canada,Furniture,Storage,Consumer,11,659.84,7258.24,4255.02,3003.22,41.38
ORD-03095,2022-01-10,2022,Q1,1,January,Europe,United Kingdom,Furniture,Desks,Home Office,8,701.25,5610.0,3196.72,2413.28,43.02
ORD-08957,2022-01-11,2022,Q1,1,January,Asia Pacific,Japan,Electronics,Tablets,Home Office,13,262.18,3408.34,2323.1,1085.24,31.84
ORD-00830,2022-01-11,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Paper,Home Office,1,58.63,58.63,28.26,30.37,51.8
ORD-07508,2022-01-11,2022,Q1,1,January,Europe,France,Electronics,Accessories,Home Office,6,1241.02,7446.12,4838.1,2608.02,35.03
ORD-06910,2022-01-11,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Paper,Corporate,6,2.66,15.96,8.22,7.74,48.5
ORD-03762,2022-01-11,2022,Q1,1,January,North America,Canada,Electronics,Phones,Consumer,3,1403.66,4210.98,2739.63,1471.35,34.94
ORD-01027,2022-01-11,2022,Q1,1,January,North America,Mexico,Furniture,Storage,Consumer,5,279.2,1396.0,725.65,670.35,48.02
ORD-09827,2022-01-11,2022,Q1,1,January,Europe,Germany,Office Supplies,Binders,Consumer,2,21.2,42.4,20.08,22.32,52.64
ORD-01155,2022-01-11,2022,Q1,1,January,North America,Canada,Clothing,Pants,Consumer,11,113.11,1244.21,533.83,710.38,57.09
ORD-05462,2022-01-11,2022,Q1,1,January,Europe,Germany,Furniture,Desks,Home Office,10,785.08,7850.8,4927.9,2922.9,37.23
ORD-09558,2022-01-11,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Jackets,Consumer,8,298.9,2391.2,1121.04,1270.16,53.12
ORD-01348,2022-01-11,2022,Q1,1,January,North America,United States,Furniture,Chairs,Consumer,11,350.96,3860.56,2318.91,1541.65,39.93
ORD-07001,2022-01-12,2022,Q1,1,January,North America,Canada,Clothing,Shoes,Corporate,14,49.52,693.28,309.4,383.88,55.37
ORD-01590,2022-01-12,2022,Q1,1,January,North America,Mexico,Office Supplies,Binders,Consumer,11,12.19,134.09,56.21,77.88,58.08
ORD-01767,2022-01-12,2022,Q1,1,January,North America,United States,Clothing,Shirts,Consumer,11,212.34,2335.74,1014.09,1321.65,56.58
ORD-01066,2022-01-12,2022,Q1,1,January,Europe,France,Office Supplies,Binders,Consumer,2,16.68,33.36,15.16,18.2,54.56
ORD-04325,2022-01-12,2022,Q1,1,January,Asia Pacific,India,Furniture,Chairs,Consumer,3,114.88,344.64,173.76,170.88,49.58
ORD-08535,2022-01-12,2022,Q1,1,January,Europe,Italy,Office Supplies,Labels,Home Office,8,66.53,532.24,196.16,336.08,63.14
ORD-04646,2022-01-12,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Labels,Consumer,3,65.97,197.91,74.76,123.15,62.23
ORD-02859,2022-01-12,2022,Q1,1,January,Europe,France,Clothing,Shoes,Home Office,5,115.95,579.75,283.85,295.9,51.04
ORD-04350,2022-01-12,2022,Q1,1,January,Europe,United Kingdom,Electronics,Tablets,Corporate,5,149.85,749.25,433.8,315.45,42.1
ORD-00381,2022-01-12,2022,Q1,1,January,Europe,Spain,Furniture,Bookcases,Consumer,10,433.71,4337.1,2718.7,1618.4,37.32
ORD-07776,2022-01-12,2022,Q1,1,January,North America,Canada,Furniture,Storage,Consumer,10,311.77,3117.7,1630.9,1486.8,47.69
ORD-04226,2022-01-12,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Jackets,Corporate,10,160.37,1603.7,874.9,728.8,45.44
ORD-07966,2022-01-12,2022,Q1,1,January,North America,Canada,Office Supplies,Envelopes,Corporate,7,25.8,180.6,93.45,87.15,48.26
ORD-09003,2022-01-12,2022,Q1,1,January,Latin America,Brazil,Electronics,Accessories,Consumer,9,249.84,2248.56,1412.73,835.83,37.17
ORD-07445,2022-01-13,2022,Q1,1,January,North America,Mexico,Clothing,Shirts,Consumer,2,50.9,101.8,44.16,57.64,56.62
ORD-07601,2022-01-13,2022,Q1,1,January,Europe,Italy,Office Supplies,Binders,Corporate,14,62.98,881.72,330.26,551.46,62.54
ORD-06377,2022-01-13,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Chairs,Consumer,10,121.56,1215.6,632.7,582.9,47.95
ORD-04081,2022-01-13,2022,Q1,1,January,Europe,Germany,Furniture,Tables,Home Office,14,576.09,8065.26,4330.2,3735.06,46.31
ORD-03866,2022-01-13,2022,Q1,1,January,Europe,Italy,Electronics,Tablets,Consumer,14,1183.16,16564.24,10032.96,6531.28,39.43
ORD-03687,2022-01-13,2022,Q1,1,January,Europe,Spain,Furniture,Chairs,Consumer,13,118.5,1540.5,902.07,638.43,41.44
ORD-05150,2022-01-13,2022,Q1,1,January,Europe,Spain,Office Supplies,Pens,Consumer,4,78.61,314.44,125.6,188.84,60.06
ORD-00756,2022-01-13,2022,Q1,1,January,North America,United States,Clothing,Jackets,Consumer,12,69.52,834.24,489.12,345.12,41.37
ORD-09493,2022-01-13,2022,Q1,1,January,Asia Pacific,India,Furniture,Bookcases,Corporate,4,222.2,888.8,559.84,328.96,37.01
ORD-09289,2022-01-13,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Shirts,Home Office,8,39.36,314.88,166.48,148.4,47.13
ORD-09845,2022-01-13,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Pens,Home Office,2,34.25,68.5,33.68,34.82,50.83
ORD-04996,2022-01-13,2022,Q1,1,January,North America,Mexico,Electronics,Laptops,Consumer,14,72.65,1017.1,596.54,420.56,41.35
ORD-07188,2022-01-14,2022,Q1,1,January,North America,Canada,Clothing,Pants,Corporate,3,147.56,442.68,184.26,258.42,58.38
ORD-04943,2022-01-14,2022,Q1,1,January,North America,United States,Office Supplies,Envelopes,Corporate,8,21.3,170.4,80.4,90.0,52.82
ORD-01399,2022-01-14,2022,Q1,1,January,Europe,Spain,Clothing,Shoes,Consumer,9,28.48,256.32,119.16,137.16,53.51
ORD-05986,2022-01-14,2022,Q1,1,January,Europe,Spain,Electronics,Phones,Consumer,14,1202.23,16831.22,9882.46,6948.76,41.28
ORD-07480,2022-01-14,2022,Q1,1,January,North America,Mexico,Clothing,Shoes,Consumer,13,155.67,2023.71,1087.58,936.13,46.26
ORD-09382,2022-01-14,2022,Q1,1,January,Asia Pacific,India,Electronics,Tablets,Corporate,7,499.89,3499.23,1982.68,1516.55,43.34
ORD-05687,2022-01-14,2022,Q1,1,January,Europe,France,Office Supplies,Paper,Consumer,11,79.74,877.14,477.84,399.3,45.52
ORD-01467,2022-01-14,2022,Q1,1,January,Europe,Germany,Clothing,Shoes,Consumer,13,16.0,208.0,92.17,115.83,55.69
ORD-00039,2022-01-14,2022,Q1,1,January,Asia Pacific,India,Clothing,Accessories,Consumer,3,125.62,376.86,164.85,212.01,56.26
ORD-08927,2022-01-14,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Labels,Corporate,13,51.85,674.05,293.8,380.25,56.41
ORD-09137,2022-01-15,2022,Q1,1,January,North America,Canada,Electronics,Tablets,Consumer,9,720.47,6484.23,3934.8,2549.43,39.32
ORD-02918,2022-01-15,2022,Q1,1,January,North America,United States,Furniture,Desks,Corporate,1,472.95,472.95,255.94,217.01,45.88
ORD-04638,2022-01-15,2022,Q1,1,January,Latin America,Chile,Electronics,Monitors,Home Office,1,931.92,931.92,541.72,390.2,41.87
ORD-00820,2022-01-15,2022,Q1,1,January,Europe,Spain,Clothing,Shirts,Corporate,3,157.05,471.15,267.93,203.22,43.13
ORD-04797,2022-01-15,2022,Q1,1,January,North America,Canada,Office Supplies,Paper,Corporate,14,76.63,1072.82,512.26,560.56,52.25
ORD-00075,2022-01-15,2022,Q1,1,January,Europe,Italy,Office Supplies,Pens,Home Office,11,58.13,639.43,293.92,345.51,54.03
ORD-06458,2022-01-16,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Desks,Home Office,1,711.18,711.18,432.89,278.29,39.13
ORD-05865,2022-01-16,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Labels,Consumer,7,26.46,185.22,82.32,102.9,55.56
ORD-06927,2022-01-16,2022,Q1,1,January,Europe,Germany,Electronics,Accessories,Home Office,6,953.32,5719.92,3311.46,2408.46,42.11
ORD-09876,2022-01-16,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Envelopes,Corporate,1,31.31,31.31,12.09,19.22,61.39
ORD-06395,2022-01-16,2022,Q1,1,January,North America,Mexico,Clothing,Pants,Corporate,9,214.31,1928.79,1116.0,812.79,42.14
ORD-01112,2022-01-16,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Storage,Consumer,1,748.87,748.87,412.86,336.01,44.87
ORD-09455,2022-01-16,2022,Q1,1,January,Europe,Spain,Electronics,Tablets,Corporate,1,1115.98,1115.98,768.61,347.37,31.13
ORD-04304,2022-01-16,2022,Q1,1,January,North America,United States,Electronics,Laptops,Corporate,2,1035.2,2070.4,1164.78,905.62,43.74
ORD-06036,2022-01-16,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Storage,Consumer,2,688.68,1377.36,777.6,599.76,43.54
ORD-09646,2022-01-16,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Pens,Consumer,6,11.08,66.48,28.62,37.86,56.95
ORD-05443,2022-01-16,2022,Q1,1,January,North America,Mexico,Office Supplies,Labels,Consumer,14,2.19,30.66,13.72,16.94,55.25
ORD-03445,2022-01-17,2022,Q1,1,January,North America,Canada,Electronics,Laptops,Corporate,13,1114.53,14488.89,8625.37,5863.52,40.47
ORD-04228,2022-01-17,2022,Q1,1,January,Europe,Germany,Clothing,Shoes,Consumer,10,160.62,1606.2,854.2,752.0,46.82
ORD-01240,2022-01-17,2022,Q1,1,January,Asia Pacific,Japan,Electronics,Laptops,Corporate,1,1301.87,1301.87,904.88,396.99,30.49
ORD-05755,2022-01-17,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Envelopes,Corporate,11,41.38,455.18,185.68,269.5,59.21
ORD-06442,2022-01-17,2022,Q1,1,January,Europe,Germany,Office Supplies,Labels,Corporate,11,14.07,154.77,61.49,93.28,60.27
ORD-01888,2022-01-17,2022,Q1,1,January,North America,United States,Clothing,Shoes,Consumer,6,248.07,1488.42,672.0,816.42,54.85
ORD-02839,2022-01-17,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Phones,Home Office,3,1394.04,4182.12,2676.39,1505.73,36.0
ORD-00242,2022-01-17,2022,Q1,1,January,Europe,United Kingdom,Furniture,Storage,Consumer,5,125.17,625.85,373.75,252.1,40.28
ORD-03199,2022-01-17,2022,Q1,1,January,North America,United States,Electronics,Phones,Consumer,7,792.91,5550.37,3393.81,2156.56,38.85
ORD-07788,2022-01-17,2022,Q1,1,January,Europe,Germany,Office Supplies,Envelopes,Consumer,6,25.29,151.74,56.04,95.7,63.07
ORD-08277,2022-01-18,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Corporate,6,172.28,1033.68,623.88,409.8,39.64
ORD-00261,2022-01-18,2022,Q1,1,January,North America,United States,Office Supplies,Envelopes,Consumer,2,14.03,28.06,15.16,12.9,45.97
ORD-00916,2022-01-18,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Bookcases,Corporate,12,347.74,4172.88,2604.12,1568.76,37.59
ORD-08701,2022-01-18,2022,Q1,1,January,Latin America,Chile,Electronics,Phones,Home Office,5,449.97,2249.85,1262.05,987.8,43.91
ORD-06242,2022-01-18,2022,Q1,1,January,North America,Mexico,Electronics,Phones,Consumer,9,391.85,3526.65,2448.99,1077.66,30.56
ORD-08184,2022-01-19,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Consumer,8,219.66,1757.28,880.4,876.88,49.9
ORD-05643,2022-01-19,2022,Q1,1,January,North America,Mexico,Furniture,Tables,Consumer,3,219.51,658.53,386.19,272.34,41.36
ORD-05321,2022-01-19,2022,Q1,1,January,Latin America,Colombia,Electronics,Laptops,Home Office,14,904.39,12661.46,7275.24,5386.22,42.54
ORD-03637,2022-01-19,2022,Q1,1,January,North America,Mexico,Electronics,Laptops,Corporate,10,852.56,8525.6,4693.6,3832.0,44.95
ORD-01560,2022-01-19,2022,Q1,1,January,North America,Mexico,Electronics,Laptops,Consumer,13,854.69,11110.97,6960.07,4150.9,37.36
ORD-02481,2022-01-19,2022,Q1,1,January,North America,United States,Furniture,Desks,Consumer,11,262.1,2883.1,1794.32,1088.78,37.76
ORD-04086,2022-01-19,2022,Q1,1,January,North America,Canada,Clothing,Accessories,Consumer,4,67.59,270.36,150.68,119.68,44.27
ORD-04574,2022-01-19,2022,Q1,1,January,North America,Mexico,Clothing,Jackets,Home Office,9,199.04,1791.36,1021.23,770.13,42.99
ORD-03425,2022-01-19,2022,Q1,1,January,Latin America,Brazil,Electronics,Monitors,Home Office,3,605.97,1817.91,1263.54,554.37,30.49
ORD-08660,2022-01-19,2022,Q1,1,January,Latin America,Brazil,Office Supplies,Paper,Home Office,2,39.16,78.32,29.6,48.72,62.21
ORD-02009,2022-01-19,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Tablets,Consumer,10,1106.86,11068.6,6255.2,4813.4,43.49
ORD-07317,2022-01-19,2022,Q1,1,January,North America,Mexico,Furniture,Tables,Corporate,14,674.24,9439.36,5528.18,3911.18,41.43
ORD-05596,2022-01-19,2022,Q1,1,January,North America,Canada,Furniture,Bookcases,Corporate,10,316.92,3169.2,2043.0,1126.2,35.54
ORD-02082,2022-01-19,2022,Q1,1,January,Europe,Italy,Clothing,Shirts,Corporate,4,73.38,293.52,155.84,137.68,46.91
ORD-02682,2022-01-19,2022,Q1,1,January,North America,Mexico,Electronics,Monitors,Home Office,3,1199.26,3597.78,2091.21,1506.57,41.87
ORD-08606,2022-01-19,2022,Q1,1,January,Europe,Germany,Furniture,Storage,Home Office,14,580.8,8131.2,4068.96,4062.24,49.96
ORD-03179,2022-01-19,2022,Q1,1,January,North America,Mexico,Electronics,Laptops,Consumer,6,481.01,2886.06,1914.78,971.28,33.65
ORD-07311,2022-01-20,2022,Q1,1,January,Latin America,Argentina,Electronics,Monitors,Consumer,4,1294.33,5177.32,3080.84,2096.48,40.49
ORD-06798,2022-01-20,2022,Q1,1,January,Latin America,Chile,Office Supplies,Labels,Consumer,5,14.36,71.8,30.6,41.2,57.38
ORD-03216,2022-01-20,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Storage,Consumer,11,377.1,4148.1,2588.08,1560.02,37.61
ORD-09232,2022-01-20,2022,Q1,1,January,Latin America,Argentina,Clothing,Accessories,Consumer,5,232.21,1161.05,685.05,476.0,41.0
ORD-00282,2022-01-20,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Paper,Home Office,1,35.92,35.92,16.4,19.52,54.34
ORD-09371,2022-01-20,2022,Q1,1,January,North America,United States,Office Supplies,Binders,Corporate,6,23.78,142.68,60.36,82.32,57.7
ORD-04782,2022-01-21,2022,Q1,1,January,Europe,United Kingdom,Furniture,Tables,Consumer,10,201.09,2010.9,1238.8,772.1,38.4
ORD-01302,2022-01-21,2022,Q1,1,January,Europe,United Kingdom,Furniture,Desks,Home Office,6,617.57,3705.42,2377.14,1328.28,35.85
ORD-06540,2022-01-21,2022,Q1,1,January,North America,Mexico,Furniture,Bookcases,Consumer,3,236.26,708.78,403.56,305.22,43.06
ORD-04884,2022-01-21,2022,Q1,1,January,North America,United States,Electronics,Monitors,Home Office,10,860.33,8603.3,5751.2,2852.1,33.15
ORD-03344,2022-01-21,2022,Q1,1,January,Asia Pacific,China,Furniture,Bookcases,Home Office,9,608.49,5476.41,2870.37,2606.04,47.59
ORD-09474,2022-01-21,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Pens,Consumer,13,16.49,214.37,84.24,130.13,60.7
ORD-00033,2022-01-21,2022,Q1,1,January,North America,United States,Electronics,Laptops,Home Office,2,335.23,670.46,368.82,301.64,44.99
ORD-01882,2022-01-21,2022,Q1,1,January,North America,Canada,Electronics,Phones,Consumer,10,1166.45,11664.5,6625.5,5039.0,43.2
ORD-06461,2022-01-21,2022,Q1,1,January,Latin America,Argentina,Furniture,Storage,Consumer,1,391.63,391.63,225.1,166.53,42.52
ORD-01449,2022-01-21,2022,Q1,1,January,Europe,France,Clothing,Accessories,Consumer,7,72.78,509.46,246.82,262.64,51.55
ORD-05902,2022-01-21,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Labels,Consumer,3,64.91,194.73,93.87,100.86,51.79
ORD-01602,2022-01-21,2022,Q1,1,January,Asia Pacific,India,Clothing,Shoes,Home Office,13,101.92,1324.96,590.85,734.11,55.41
ORD-02162,2022-01-21,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Binders,Home Office,6,20.65,123.9,54.3,69.6,56.17
ORD-06738,2022-01-22,2022,Q1,1,January,Europe,United Kingdom,Electronics,Accessories,Consumer,4,494.29,1977.16,1336.12,641.04,32.42
ORD-02192,2022-01-22,2022,Q1,1,January,Europe,France,Furniture,Tables,Home Office,1,479.57,479.57,263.77,215.8,45.0
